,0,1,2,3,4,5,6,7
0,"部門
Serviços",,"工程
Obra",判給 Adjudicação,,至 até30/06/2021,,"註
Nota"
1,,,,"價格 Valor
(MOP)","工期 Prazo
(天dias /工作天
dias de trabalho)","價格
valor
(+/-)","工期
prazo
(+/-)",
2,"建設發展辦公室
GDI",31,"北安O4地段文件倉庫大樓設計連建造工程
Concepção construção do Edifício para Arquivo de Documentos Oficiais
no Lote O4 em Pac On","330,770,151.00",630,0.0%,0.0%,
3,,32,"第四條跨海大橋–北安區連接線
Quarta Ponte Macau-Taipa - Ligação de Pac On","258,551,477.80",675,0.0%,0.0%,
4,,33,"第四條跨海大橋–偉龍馬路連接線
Quarta Ponte Macau-Taipa -Ligação da Av. Wai Long","261,500,000.00",496+285,0.0%,0.0%,
5,,34,"新城A區B6地段公共設施大樓建造工程
Edificio de Instalações Públicas no Lote B6 na Zona A","393,860,000.00",673,0.0%,0.0%,
6,,35,"輕軌橫琴線
Linha de Hengqin do metro ligeiro","3,462,785,949.00",1040,0.0%,0.0%,
7,,36,"第四條跨海大橋 - 口岸人工島連接線
Quarta Ponte Macau-Taipa – Ligação do posto fronteiriço na ilha
artificial",,,,,2
8,,37,"第四條跨海大橋 - A區東軸線-第1期工程
Quarta Ponte Macau-Taipa– Eixo leste da Zona A– Fase 1",,,,,2
9,,38,"新城A區A1地段公共房屋設計連建造工程
Empreitada de concepção e construção de habitação pública no lote A1
da Nova Zona de Aterro A",,,,,1
10,,39,"新城A區A2地段公共房屋設計連建造工程
Empreitada de concepção e construção de habitação pública no lote A2
da Nova Zona de Aterro A",,,,,1
11,,40,"新城A區A3地段公共房屋設計連建造工程
Empreitada de concepção e construção de habitação pública no lote A3
da Nova Zona de Aterro A",,,,,1
12,,41,"新城A區A4地段公共房屋設計連建造工程
Empreitada de concepção e construção de habitação pública no lote A4
da Nova Zona de Aterro A",,,,,1
13,,42,"新城A區A12地段公共房屋設計連建造工程
Empreitada de concepção e construção de habitação pública no lote A12
da Nova Zona de Aterro A",,,,,1
14,"環境保護局
DSPA",43,"惰性拆建物料分選設施
Triagem de Materiais Inertes de Demolições e Construções","362,333,747.00",365,,,a
15,,44,"廢舊車輛預處理場地
Instalações de Pré-Tratamento de Veículos Abatidos","146,925,050.00",730,0.0%,0.0%,
16,,45,"建築廢料堆填區海泥拋填
Remoção de Lamas do Aterro para Resíduos de Materiais de Construção","387,000,000.00",495,0.3%,0.0%,
17,,46,"垃圾焚化中心第三期擴建
Expansão da Central de Incineração Fase 3","2,567,000,000.00","1,079",0.0%,1.1%,
18,"總額：
Total ：",,,"34,287,557,764.26","平均：
Média：",0.6%,3.6%,
